Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1851,4,1,53.7,38.5,12.1,3.6
1851,4,2,51.3,41.3,10.7,5.2
1851,4,3,50.3,43.5,10.2,6.4
1851,4,4,56,43.5,13.3,6.4
1851,4,5,53.3,41.2,11.8,5.1
1851,4,6,51,31.5,10.6,-0.3
1851,4,7,54.5,40,12.5,4.4
1851,4,8,54,34.5,12.2,1.4
1851,4,9,45,32.5,7.2,0.3
1851,4,10,48,37,8.9,2.8
1851,4,11,54,33.5,12.2,0.8
1851,4,12,53.5,36.7,11.9,2.6
1851,4,13,54,36.5,12.2,2.5
1851,4,14,49,38.5,9.4,3.6
1851,4,15,51.5,39,10.8,3.9
1851,4,16,48.5,42.5,9.2,5.8
1851,4,17,49.5,44,9.7,6.7
1851,4,18,58.5,46,14.7,7.8
1851,4,19,57,39.5,13.9,4.2
1851,4,20,58.3,43.5,14.6,6.4
1851,4,21,52.8,41,11.6,5
1851,4,22,58,43.5,14.4,6.4
1851,4,23,58.2,40,14.6,4.4
1851,4,24,58.5,40,14.7,4.4
1851,4,25,60.3,37.5,15.7,3.1
1851,4,26,56.5,41,13.6,5
1851,4,27,50.5,34.5,10.3,1.4
1851,4,28,46.5,31,8.1,-0.6
1851,4,29,50,34.5,10,1.4
1851,4,30,50,34,10,1.1
1851,5,1,52.5,37,11.4,2.8
1851,5,2,54,38.5,12.2,3.6
1851,5,3,52.3,35.5,11.3,1.9
1851,5,4,53.5,33.5,11.9,0.8
1851,5,5,52.6,34.5,11.4,1.4
1851,5,6,51,34.5,10.6,1.4
1851,5,7,54,41,12.2,5
1851,5,8,56,48,13.3,8.9
1851,5,9,52,42,11.1,5.6
1851,5,10,58.5,44,14.7,6.7
1851,5,11,52,38.5,11.1,3.6
1851,5,12,56,43,13.3,6.1
1851,5,13,60.5,45,15.8,7.2
1851,5,14,54.5,46.5,12.5,8.1
1851,5,15,63.5,44.5,17.5,6.9
1851,5,16,54,46.5,12.2,8.1
1851,5,17,54,47.5,12.2,8.6
1851,5,18,58.7,47,14.8,8.3
1851,5,19,59.5,41,15.3,5
1851,5,20,59,43,15,6.1
1851,5,21,60,49.7,15.6,9.8
1851,5,22,67,50,19.4,10
1851,5,23,63,46,17.2,7.8
1851,5,24,66,44.5,18.9,6.9
1851,5,25,61.4,53,16.3,11.7
1851,5,26,61.5,44,16.4,6.7
1851,5,27,59.3,40,15.2,4.4
1851,5,28,61.3,44,16.3,6.7
1851,5,29,72,47,22.2,8.3
1851,5,30,66.8,46,19.3,7.8
1851,5,31,68.5,43,20.3,6.1
1851,6,1,70,45.5,21.1,7.5
1851,6,2,61,48.2,16.1,9
1851,6,3,67.4,51,19.7,10.6
1851,6,4,58,35,14.4,1.7
1851,6,5,60.5,40.5,15.8,4.7
1851,6,6,64,42,17.8,5.6
1851,6,7,60.5,44.7,15.8,7.1
1851,6,8,62.5,53,16.9,11.7
1851,6,9,63,44.7,17.2,7.1
1851,6,10,61,44,16.1,6.7
1851,6,11,61,39,16.1,3.9
1851,6,12,61,46.3,16.1,7.9
1851,6,13,64,46.5,17.8,8.1
1851,6,14,65.5,46,18.6,7.8
1851,6,15,65.5,51.5,18.6,10.8
1851,6,16,64.5,50.3,18.1,10.2
1851,6,17,63,45.5,17.2,7.5
1851,6,18,68,48.5,20,9.2
1851,6,19,65.5,56,18.6,13.3
1851,6,20,64.5,55.5,18.1,13.1
1851,6,21,70,55,21.1,12.8
1851,6,22,68,47.5,20,8.6
1851,6,23,66.5,43,19.2,6.1
1851,6,24,62.2,50,16.8,10
1851,6,25,70.5,56.2,21.4,13.4
1851,6,26,71.5,53,21.9,11.7
1851,6,27,78.3,53.6,25.7,12
1851,6,28,79.7,57,26.5,13.9
1851,6,29,83.3,57.5,28.5,14.2
1851,6,30,81,61,27.2,16.1
1851,7,1,78.5,61,25.8,16.1
1851,7,2,70.5,58.7,21.4,14.8
1851,7,3,74,52.5,23.3,11.4
1851,7,4,72,47.3,22.2,8.5
1851,7,5,72.6,50.2,22.6,10.1
1851,7,6,67.7,50.5,19.8,10.3
1851,7,7,63,54,17.2,12.2
1851,7,8,65,55,18.3,12.8
1851,7,9,70.5,52,21.4,11.1
1851,7,10,68,52.2,20,11.2
1851,7,11,66.5,46.3,19.2,7.9
1851,7,12,67,56,19.4,13.3
1851,7,13,72.5,58.5,22.5,14.7
1851,7,14,67.5,52,19.7,11.1
1851,7,15,63,49,17.2,9.4
1851,7,16,63.5,49,17.5,9.4
1851,7,17,67.5,48.7,19.7,9.3
1851,7,18,65,47.5,18.3,8.6
