Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1851,1,1,54,48,12.2,8.9
1851,1,2,52,47,11.1,8.3
1851,1,3,53,38,11.7,3.3
1851,1,4,54,40,12.2,4.4
1851,1,5,48,38,8.9,3.3
1851,1,6,48,33,8.9,0.6
1851,1,7,47,39,8.3,3.9
1851,1,8,48,39,8.9,3.9
1851,1,9,44,35,6.7,1.7
1851,1,10,51,39,10.6,3.9
1851,1,11,54,48,12.2,8.9
1851,1,12,50,43,10,6.1
1851,1,13,53,45,11.7,7.2
1851,1,14,50,45,10,7.2
1851,1,15,49,45,9.4,7.2
1851,1,16,48,40,8.9,4.4
1851,1,17,51,42,10.6,5.6
1851,1,18,44,40,6.7,4.4
1851,1,19,49,42,9.4,5.6
1851,1,20,51,45,10.6,7.2
1851,1,21,50,37,10,2.8
1851,1,22,42,37,5.6,2.8
1851,1,23,44,39,6.7,3.9
1851,1,24,49,41,9.4,5
1851,1,25,48,39,8.9,3.9
1851,1,26,47,40,8.3,4.4
1851,1,27,47,36,8.3,2.2
1851,1,28,45,39,7.2,3.9
1851,1,29,46,37,7.8,2.8
1851,1,30,51,37,10.6,2.8
1851,1,31,47,32,8.3,0
1851,2,1,44,32,6.7,0
1851,2,2,44,30,6.7,-1.1
1851,2,3,44,35,6.7,1.7
1851,2,4,45,32,7.2,0
1851,2,5,49,38,9.4,3.3
1851,2,6,50,36,10,2.2
1851,2,7,47,37,8.3,2.8
1851,2,8,50,41,10,5
1851,2,9,48,35,8.9,1.7
1851,2,10,48,37,8.9,2.8
1851,2,11,48,44,8.9,6.7
1851,2,12,49,43,9.4,6.1
1851,2,13,47,41,8.3,5
1851,2,14,47,44,8.3,6.7
1851,2,15,49,43,9.4,6.1
1851,2,16,49,42,9.4,5.6
1851,2,17,47,43,8.3,6.1
1851,2,18,49,44,9.4,6.7
1851,2,19,50,43,10,6.1
1851,2,20,51,42,10.6,5.6
1851,2,21,48,34,8.9,1.1
1851,2,22,50,40,10,4.4
1851,2,23,48,43,8.9,6.1
1851,2,24,48,41,8.9,5
1851,2,25,47,42,8.3,5.6
1851,2,26,46,40,7.8,4.4
1851,2,27,45,37,7.2,2.8
1851,2,28,45,33,7.2,0.6
1851,3,1,44,33,6.7,0.6
1851,3,2,48,35,8.9,1.7
1851,3,3,45,38,7.2,3.3
1851,3,4,46,37,7.8,2.8
1851,3,5,47,43,8.3,6.1
1851,3,6,49,36,9.4,2.2
1851,3,7,46,37,7.8,2.8
1851,3,8,47,41,8.3,5
1851,3,9,48,42,8.9,5.6
1851,3,10,46,35,7.8,1.7
1851,3,11,46,35,7.8,1.7
1851,3,12,48,37,8.9,2.8
1851,3,13,49,39,9.4,3.9
1851,3,14,50,38,10,3.3
1851,3,15,48,42,8.9,5.6
1851,3,16,51,36,10.6,2.2
1851,3,17,51,41,10.6,5
1851,3,18,46,41,7.8,5
1851,3,19,50,41,10,5
1851,3,20,51,43,10.6,6.1
1851,3,21,48,42,8.9,5.6
1851,3,22,51,42,10.6,5.6
1851,3,23,52,43,11.1,6.1
1851,3,24,48,42,8.9,5.6
1851,3,25,54,43,12.2,6.1
1851,3,26,49,39,9.4,3.9
1851,3,27,49,40,9.4,4.4
1851,3,28,52,40,11.1,4.4
1851,3,29,53,39,11.7,3.9
1851,3,30,51,38,10.6,3.3
1851,3,31,49,37,9.4,2.8
1851,4,1,54,42,12.2,5.6
1851,4,2,54,42,12.2,5.6
1851,4,3,49,42,9.4,5.6
1851,4,4,55,45,12.8,7.2
1851,4,5,55,42,12.8,5.6
1851,4,6,58,41,14.4,5
1851,4,7,52,44,11.1,6.7
1851,4,8,54,41,12.2,5
1851,4,9,59,39,15,3.9
1851,4,10,62,42,16.7,5.6
1851,4,11,59,38,15,3.3
1851,4,12,64,42,17.8,5.6
1851,4,13,55,39,12.8,3.9
1851,4,14,58,39,14.4,3.9
1851,4,15,59,42,15,5.6
1851,4,16,57,44,13.9,6.7
1851,4,17,52,44,11.1,6.7
1851,4,18,58,47,14.4,8.3
1851,4,19,57,43,13.9,6.1
1851,4,20,55,46,12.8,7.8
1851,4,21,55,44,12.8,6.7
1851,4,22,55,46,12.8,7.8
1851,4,23,60,42,15.6,5.6
1851,4,24,64,42,17.8,5.6
1851,4,25,68,41,20,5
1851,4,26,67,41,19.4,5
1851,4,27,58,36,14.4,2.2
